13104.00,030420,
4,72,190,112,246,64,254,160,255,237,0,50,255,80,
4,244,190,176,245,204,254,192,255,254,0,67,255,115,
5,84,190,152,246,16,254,160,255,247,0,59,255,154,
5,84,190,152,246,16,254,160,255,247,0,59,255,154,
4,148,190,44,245,148,254,160,255,241,0,39,255,167,
3,176,190,88,246,16,254,160,255,226,0,59,255,166,
3,172,190,144,246,108,254,192,255,205,0,90,255,127,
3,172,190,144,246,108,254,192,255,205,0,90,255,127,
4,48,190,164,246,56,254,160,255,184,0,85,255,112,
4,232,190,108,245,168,254,160,255,171,0,67,255,124,
4,220,190,136,245,248,254,192,255,156,0,59,255,146,
4,220,190,136,245,248,254,192,255,156,0,59,255,146,
4,188,189,240,246,36,254,192,255,126,0,81,255,177,
4,40,189,180,246,4,254,160,255,119,0,61,255,186,
3,192,190,120,246,128,254,192,255,95,0,51,255,161,
3,192,190,120,246,128,254,192,255,95,0,51,255,161,
4,32,190,124,245,212,254,160,255,86,0,60,255,123,
4,156,190,104,245,184,254,192,255,95,0,68,255,152,
4,156,190,104,245,184,254,192,255,95,0,68,255,152,
5,0,189,188,245,68,254,128,255,104,0,57,255,173,
5,32,190,68,245,88,254,160,255,119,0,72,255,193,
4,64,190,56,245,144,254,192,255,148,0,85,255,193,
4,64,190,56,245,144,254,192,255,148,0,85,255,193,
3,124,189,208,245,84,254,192,255,178,0,78,255,156,
3,208,189,244,245,176,254,192,255,207,0,57,255,127,
4,88,190,4,245,104,254,192,255,221,0,49,255,108,
4,88,190,4,245,104,254,192,255,221,0,49,255,108,
4,148,190,104,245,96,254,192,255,245,0,48,255,129,
4,160,190,20,245,4,254,224,0,7,0,60,255,163,
4,108,189,240,245,180,254,160,0,13,0,59,255,159,
4,108,189,240,245,180,254,160,0,13,0,59,255,159,
4,0,190,116,246,120,254,192,255,252,0,68,255,146,
3,244,191,8,246,100,254,160,255,230,0,67,255,116,
4,204,190,224,245,248,254,160,255,206,0,71,255,101,
4,204,190,224,245,248,254,160,255,206,0,71,255,101,
5,68,190,64,246,120,254,160,255,201,0,66,255,116,
4,168,190,4,246,196,254,160,255,198,0,59,255,129,
4,168,190,4,246,196,254,160,255,198,0,59,255,129,
4,100,190,32,246,128,254,160,255,188,0,63,255,154,
